SCHNAME,PAN,Applications,SEN,LAC,Medical,Feeder,Sibling,Staff,Religious,Distance,LAOffer,Vacancies,CutOff,AppealsHeard,Sucess
Buxton School,180,242,1,1,0,70,13,0,,42,5,48,,,
Chingford Foundation School,257,872,10,8,0,,79,0,0,156,0,0,1.16,2,1
Connaught School for Girls,132,289,0,1,1,,27,,,103,0,0,3.673,,
Eden Girls' School Waltham Forest,120,283,0,0,0,,25,0,,95,,,1.885,4,0
Frederick Bremer School,180,518,9,2,1,,39,0,,128,1,0,,3,0
George Mitchell School,120,308,4,1,0,,4,0,,96,13,2,,1,0
Heathcote School & Science College,240,556,4,3,0,,56,0,,121,6,50,,,
Highams Park School,240,796,2,2,,,85,0,,151,0,0,1.063,11,2
Holy Family Catholic School,240,440,5,0,,,55,,161,,0,19,,,
Kelmscott School,180,446,1,0,0,,40,,,84,20,35,,,
Lammas School and Sixth Form,180,372,1,1,0,,30,,,72,2,74,,,
Leytonstone School,180,602,4,3,0,,32,0,,141,0,0,1.134,10,1
Norlington School and 6th Form,132,280,2,1,0,,39,0,,90,0,0,1.997,,
South Chingford Foundation School,180,257,0,0,1,,15,0,,29,34,101,,,
Walthamstow Academy,180,831,3,3,3,,54,,,117,0,0,0.687,25,1
Walthamstow School for Girls,180,597,3,0,2,,42,0,,133,0,0,0.759,11,0
Willowfield School,180,603,3,1,1,,45,0,,130,0,0,0.836,6,0
