SCHNAME,PAN,Applications,SEN,LAC,Medical,Social,Feeder,Sibling,Staff,Religious,Catchment,Distance,LAOffer,Vacancies,CutOff,AppealsHeard,Sucess
Buxton School,110,,5,0,0,0,0,19,0,,,67,19,0,,,
Chingford Foundation School,240,,11,2,,,,77,1,,100,49,,0,2.61,,
Connaught School for Girls,132,,1,0,0,1,,13,0,,,117,,0,1.205,,
Eden Girls' School Waltham Forest,124,,1,0,0,0,,37,0,,,86,,0,0.74,,
Frederick Bremer School,180,,13,2,2,0,,53,1,,,109,,0,0.872,,
George Mitchell School,77,,3,1,0,0,0,22,0,,,51,,0,0.426,,
Heathcote School & Science College,180,,7,0,0,0,0,53,0,,,120,,0,1.465,,
Highams Park School,240,,5,0,0,0,0,70,2,,,163,,0,0.931,,
Holy Family Catholic School,240,,5,0,,,,,,119,,50,,0,,,
Kelmscott School,210,,4,1,,,,37,,,,103,36,59,,,
Lammas School and Sixth Form,180,,1,0,,,,25,,,,68,17,69,,,
Leytonstone School,210,,7,3,3,,,57,,,,141,,0,0.929,,
Norlington School and 6th Form,156,,2,0,,,,27,,,,103,14,16,,,
South Chingford Foundation School,180,,1,0,,,,18,,,,47,49,20,,,
Walthamstow Academy,180,,6,3,,,16,52,4,,,99,,0,0.731,,
Walthamstow School for Girls,180,,4,7,5,,,31,2,,,131,,0,0.764,,
Willowfield School,180,,4,3,2,,,40,2,,,159,,0,1.081,,
