School,Lat,Lon,URN,Gender
Buxton School,51.55694252,0.014227418,103080,M
Chingford Foundation School,51.63001378,-0.007231114,138691,M
Connaught School for Girls,51.56628916,0.004583408,139293,G
Eden Girls' School Waltham Forest,51.59400904,-0.042577512,140957,G
Frederick Bremer School,51.59449187,-0.003444264,103094,M
George Mitchell School,51.5681192,-0.013661752,103096,M
Heathcote School & Science College,51.62627694,0.01203786,103097,M
Highams Park,51.60846558,0.002931333,137558,M
Holy Family Catholic School,51.58963937,-0.007352775,103106,M
Kelmscott School,51.57557039,-0.028375024,103105,M
Lammas School and Sixth Form,51.56588452,-0.025648578,133287,M
Leytonstone School,51.57576561,0.006789935,103101,M
Norlington School and 6th Form,51.5672887,-0.001822568,143385,B
Rushcroft Foundation School,51.60464091,-0.012241444,138859,M
Walthamstow Academy,51.59949528,-0.024378806,132727,M
Walthamstow School for Girls,51.58529118,-0.013966644,103103,G
Willowfield School,51.58587807,-0.039780129,103100,M
